show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,language,imdb_score,views_millions
s1,Movie,Stranger Things,Director_294,"Actor_311, Actor_441, Actor_7",Japan,2020-05-02,2020,PG-13,63 min,Reality,French,6.3,2.17
s2,Movie,Ozark,Director_105,"Actor_16, Actor_363, Actor_451, Actor_32",United States,2019-02-19,2019,TV-MA,87 min,Comedy,French,8.5,0.28
s3,TV Show,The Crown,Director_267,"Actor_425, Actor_381",Turkey,2022-06-28,2022,R,4 Seasons,Fantasy,English,7.5,1.09
s4,TV Show,Bridgerton,Director_52,"Actor_465, Actor_234, Actor_386, Actor_19, Actor_265",Italy,2019-09-07,2019,TV-MA,7 Seasons,Fantasy,Hindi,9.3,0.44
s5,TV Show,Squid Game,Director_157,"Actor_122, Actor_332, Actor_41, Actor_22, Actor_424",United States,2021-07-08,2021,PG-13,7 Seasons,Romance,English,6.4,0.76
s6,Movie,Money Heist,Director_261,"Actor_145, Actor_490, Actor_175",United States,2020-10-05,2020,TV-14,113 min,Sci-Fi,English,6.8,0.48
s7,TV Show,Dark,Director_190,"Actor_342, Actor_52",United Kingdom,2022-08-26,2022,R,6 Seasons,Fantasy,English,8.1,3.27
s8,TV Show,Lupin,Director_204,"Actor_387, Actor_369, Actor_110",United States,2021-05-16,2021,TV-MA,6 Seasons,Romance,Korean,5.9,41.53
s9,Movie,Emily in Paris,Director_221,"Actor_211, Actor_301, Actor_31, Actor_278, Actor_135",Italy,2020-04-13,2020,TV-MA,118 min,Romance,Turkish,6.4,0.01
s10,TV Show,Narcos,Director_118,"Actor_33, Actor_367, Actor_479, Actor_216",United Kingdom,2018-06-19,2018,TV-MA,4 Seasons,Animation,English,5.8,0.56
s11,TV Show,Mindhunter,Director_220,"Actor_453, Actor_95",South Korea,2018-06-24,2018,TV-MA,1 Season,Fantasy,French,5.8,7.13
s12,TV Show,Witcher,Director_188,"Actor_3, Actor_279",United States,2020-10-12,2020,G,2 Seasons,Reality,French,5.6,0.36
s13,TV Show,Cobra Kai,Director_172,"Actor_399, Actor_91, Actor_159",United States,2017-02-20,2017,TV-MA,6 Seasons,Action,Turkish,6.1,0.85
s14,Movie,Sex Education,Director_89,"Actor_4, Actor_465, Actor_249, Actor_123, Actor_60",Spain,2018-05-14,2018,TV-MA,93 min,Fantasy,English,6.7,0.48
s15,Movie,You,Director_125,"Actor_224, Actor_303, Actor_278, Actor_482",United Kingdom,2023-02-06,2023,TV-MA,60 min,Comedy,French,6.9,1.74
s16,TV Show,Tiger King,Director_201,"Actor_350, Actor_410, Actor_394",Canada,2021-09-27,2021,TV-14,2 Seasons,Comedy,French,6.4,0.58
s17,TV Show,Making a Murderer,Director_106,"Actor_295, Actor_445, Actor_438, Actor_111, Actor_464",Japan,2022-07-12,2022,R,4 Seasons,Thriller,English,5.7,34.71
s18,TV Show,Conversations with a Killer,Director_182,"Actor_45, Actor_4, Actor_3, Actor_150",United Kingdom,2019-10-25,2019,TV-MA,6 Seasons,Horror,Japanese,7.0,3.93
s19,Movie,Our Planet,Director_228,"Actor_332, Actor_398, Actor_123, Actor_347",Norway,2023-11-17,2023,R,149 min,Comedy,German,6.7,0.8
s20,TV Show,Blue Planet II,Director_20,"Actor_40, Actor_174, Actor_292, Actor_91, Actor_489",Japan,2023-01-11,2023,R,5 Seasons,Reality,Hindi,7.9,7.2
s21,TV Show,Abstract,Director_26,"Actor_459, Actor_116, Actor_410",United States,2022-04-09,2022,TV-MA,3 Seasons,Drama,English,6.0,0.02
s22,TV Show,Chef's Table,Director_54,"Actor_108, Actor_366, Actor_139, Actor_449, Actor_156",United Kingdom,2023-04-07,2023,TV-14,6 Seasons,Sci-Fi,Korean,8.3,3.79
s23,TV Show,Formula 1: Drive to Survive,Director_223,"Actor_37, Actor_44, Actor_357, Actor_304, Actor_493",United States,2020-07-26,2020,TV-14,5 Seasons,Fantasy,Korean,6.9,3.98
s24,TV Show,Last Chance U,Director_227,"Actor_361, Actor_2",United Kingdom,2022-01-26,2022,R,6 Seasons,Thriller,English,7.2,0.89
s25,TV Show,American Factory,Director_198,"Actor_113, Actor_285, Actor_414, Actor_438",South Korea,2020-02-21,2020,TV-14,4 Seasons,Action,English,6.1,0.84
s26,TV Show,Icarus,Director_40,"Actor_45, Actor_39, Actor_403, Actor_129, Actor_9",United States,2020-02-20,2020,PG-13,2 Seasons,Crime,Italian,5.8,1.22
s27,Movie,My Octopus Teacher,Director_36,"Actor_37, Actor_99",United States,2023-10-09,2023,TV-MA,103 min,Sci-Fi,Italian,7.3,2.83
s28,Movie,The Tinder Swindler,Director_29,"Actor_355, Actor_163, Actor_70, Actor_49",Brazil,2018-03-17,2018,TV-MA,108 min,Thriller,Hindi,5.8,1.01
s29,TV Show,Bird Box,Director_14,"Actor_253, Actor_450, Actor_332, Actor_366",Canada,2023-05-16,2023,TV-14,7 Seasons,Drama,Turkish,5.5,0.15
s30,TV Show,Extraction,Director_282,"Actor_4, Actor_11, Actor_436, Actor_334, Actor_376",United States,2020-06-22,2020,PG-13,4 Seasons,Animation,Korean,5.6,0.39
s31,Movie,Red Notice,Director_162,"Actor_24, Actor_372, Actor_468, Actor_285",United States,2018-07-14,2018,NR,105 min,Documentary,Spanish,7.0,0.34
s32,TV Show,The Gray Man,Director_5,"Actor_208, Actor_25, Actor_398",Japan,2020-01-23,2020,R,7 Seasons,Sci-Fi,Japanese,5.5,31.95
s33,Movie,Don't Look Up,Director_261,"Actor_295, Actor_370, Actor_165, Actor_206",Germany,2021-05-26,2021,PG-13,130 min,Animation,English,6.7,8.35
s34,TV Show,The Irishman,Director_257,"Actor_477, Actor_200, Actor_142, Actor_81, Actor_398",Brazil,2022-03-17,2022,R,5 Seasons,Action,English,6.5,0.41
s35,Movie,Marriage Story,Director_262,"Actor_282, Actor_467, Actor_124, Actor_306",United States,2016-09-06,2016,PG,82 min,Comedy,Hindi,5.0,0.68
s36,TV Show,Roma,Director_108,"Actor_117, Actor_13",United States,2023-06-22,2023,TV-MA,2 Seasons,Crime,Korean,8.4,1.4
s37,TV Show,Mank,Director_215,"Actor_197, Actor_384, Actor_489, Actor_378",United Kingdom,2019-08-22,2019,TV-14,1 Season,Reality,Spanish,6.5,1.45
s38,TV Show,Power,Director_87,"Actor_109, Actor_333, Actor_54, Actor_178, Actor_277",United States,2019-02-26,2019,TV-14,6 Seasons,Reality,Norwegian,7.2,20.02
s39,TV Show,Narcos: Mexico,Director_204,"Actor_455, Actor_266, Actor_152",South Korea,2020-09-17,2020,TV-MA,1 Season,Horror,Norwegian,8.7,0.85
s40,TV Show,Ozark,Director_10,"Actor_400, Actor_411, Actor_340, Actor_184, Actor_39",United States,2016-05-24,2016,R,6 Seasons,Romance,Portuguese,8.3,1.29
s41,TV Show,Elite,Director_25,"Actor_311, Actor_188, Actor_344, Actor_220",United States,2016-03-19,2016,R,3 Seasons,Crime,Norwegian,5.8,1.04
s42,Movie,Money Heist: Korea,Director_17,"Actor_282, Actor_45, Actor_42, Actor_211",United States,2018-05-22,2018,PG-13,97 min,Horror,English,6.2,1.88
s43,TV Show,All of Us Are Dead,Director_94,"Actor_65, Actor_234, Actor_130",India,2022-10-22,2022,R,5 Seasons,Documentary,Korean,5.9,0.89
s44,TV Show,Hellbound,Director_87,"Actor_268, Actor_214",United Kingdom,2023-01-21,2023,R,3 Seasons,Documentary,Italian,6.9,5.2
s45,TV Show,Kingdom,Director_18,"Actor_410, Actor_86, Actor_298, Actor_172",United States,2018-09-28,2018,TV-14,7 Seasons,Fantasy,French,4.3,0.04
s46,TV Show,Sweet Home,Director_224,"Actor_296, Actor_94, Actor_328, Actor_211",Norway,2022-12-10,2022,TV-MA,3 Seasons,Horror,English,5.4,1.49
s47,TV Show,Hospital Playlist,Director_106,"Actor_341, Actor_211, Actor_214",India,2015-12-20,2015,TV-14,1 Season,Comedy,English,5.9,1.24
s48,Movie,Reply 1988,Director_15,"Actor_37, Actor_308, Actor_447, Actor_237, Actor_498",Spain,2021-08-14,2021,TV-MA,120 min,Crime,English,8.1,0.13
s49,Movie,Signal,Director_62,"Actor_474, Actor_139",Germany,2016-04-07,2016,R,143 min,Fantasy,Turkish,9.2,0.66
s50,Movie,My Mister,Director_147,"Actor_345, Actor_492, Actor_475, Actor_196, Actor_56",United States,2019-09-12,2019,TV-14,129 min,Crime,Korean,6.3,0.64
